OpenTime,Position,Symbol,Type,Volume,OpenPrice,S / L,T / P,CloseTime,ClosePrice,Commission,Swap,Profit,Comment,_open_dt,_close_dt,_pnl,_strategy,_hold_minutes,CumPnL,Equity,Drawdown_pct
2026.01.14 10:42:59,1408469527,XAUUSD,sell,0.38,4 638.03,4 640.43,4 635.63,2026.01.14 10:46:34,4 635.72,-2.66,0,87.78,Inv_Chandelier_p,2026-01-14 10:42:59,2026-01-14 10:46:34,87.78,Chandelier STRAT,3.5833333333333335,-262.5,9737.5,-11.642700000000005
2026.01.14 11:32:46,1408540220,XAUUSD,buy,0.14,4 627.83,4 630.50,4 634.54,2026.01.14 12:02:11,4 634.55,-0.98,0,94.08,Inv_Chandelier_p,2026-01-14 11:32:46,2026-01-14 12:02:11,94.08,Chandelier STRAT,29.416666666666668,-168.42000000000002,9831.58,-10.701900000000004
2026.01.14 14:49:53,1408994043,XAUUSD,buy,0.06,4 608.54,4 612.82,4 625.98,2026.01.14 15:14:06,4 612.54,-0.42,0,24.0,Inv_Chandelier_p,2026-01-14 14:49:53,2026-01-14 15:14:06,24.0,Chandelier STRAT,24.216666666666665,-144.42000000000002,9855.58,-10.461900000000005
2026.01.14 14:49:54,1408994030,XAUUSD,buy,0.06,4 607.68,4 613.04,4 624.88,2026.01.14 15:00:26,4 612.90,-0.42,0,31.32,Inv_ATRtrail_pen,2026-01-14 14:49:54,2026-01-14 15:00:26,31.32,ATR-Trailing STRAT,10.533333333333333,-113.10000000000002,9886.9,-10.148700000000007
2026.01.15 01:31:21,1410055587,XAUUSD,buy,0.1,4 592.58,4 583.21,4 602.03,2026.01.15 01:44:05,4 602.28,-0.7,0,97.0,Inv_Chandelier_p,2026-01-15 01:31:21,2026-01-15 01:44:05,97.0,Chandelier STRAT,12.733333333333333,-16.100000000000023,9983.9,-9.178700000000008
2026.01.15 01:31:33,1410055546,XAUUSD,buy,0.2,4 589.34,4 586.41,4 595.73,2026.01.15 01:31:52,4 586.32,-1.4,0,-60.4,Inv_ATRtrail_pen,2026-01-15 01:31:33,2026-01-15 01:31:52,-60.4,ATR-Trailing STRAT,0.31666666666666665,-76.50000000000003,9923.5,-9.782700000000004
2026.01.15 05:30:00,1410418095,XAUUSD,sell,0.14,4 593.32,4 599.86,4 586.54,2026.01.15 05:33:21,4 586.41,-0.98,0,96.74,Inv_Chandelier_p,2026-01-15 05:30:00,2026-01-15 05:33:21,96.74,Chandelier STRAT,3.35,20.239999999999966,10020.24,-8.815300000000006
2026.01.15 13:07:06,1411072880,XAUUSD,sell,0.09,4 611.16,4 608.92,4 600.82,2026.01.15 13:25:01,4 609.13,-0.64,0,18.27,Inv_Chandelier_p,2026-01-15 13:07:06,2026-01-15 13:25:01,18.27,Chandelier STRAT,17.916666666666668,38.50999999999996,10038.51,-8.632600000000004
2026.01.15 13:07:38,1411072861,XAUUSD,sell,0.11,4 612.32,4 609.02,4 603.75,2026.01.15 13:28:49,4 603.62,-0.78,0,95.7,Inv_ATRtrail_pen,2026-01-15 13:07:38,2026-01-15 13:28:49,95.7,ATR-Trailing STRAT,21.183333333333334,134.20999999999998,10134.21,-7.675600000000013
2026.01.15 13:36:47,1411152414,XAUUSD,buy,0.09,4 593.66,4 582.65,4 604.45,2026.01.15 13:47:38,4 582.81,-0.64,0,-97.65,Inv_Chandelier_p,2026-01-15 13:36:47,2026-01-15 13:47:38,-97.65,Chandelier STRAT,10.85,36.559999999999974,10036.56,-8.65210000000001
